year,university_name,grads_total
2013,Arizona State University-Tempe,2
2013,California State University-Long Beach,3
2013,California State University-Northridge,17
2013,University of California-Berkeley,8
2013,University of California-Davis,24
2013,University of California-Irvine,9
2013,University of California-Los Angeles,59
2013,University of California-Riverside,3
2013,University of California-Santa Barbara,29
2013,Pomona College,1
2013,San Francisco State University,32
2013,Scripps College,1
2013,University of Denver,4
2013,New York University,1
2013,SUNY at Binghamton,3
2013,Stanford University,3
2014,Arizona State University-Tempe,1
2014,California State University-Long Beach,3
2014,California State University-Northridge,18
2014,University of California-Berkeley,1
2014,University of California-Davis,24
2014,University of California-Irvine,8
2014,University of California-Los Angeles,39
2014,University of California-Riverside,2
2014,University of California-Santa Barbara,18
2014,Pitzer College,2
2014,San Francisco State University,36
2014,Scripps College,1
2014,SUNY at Binghamton,13
2015,California State University-Long Beach,7
2015,California State University-Northridge,8
2015,University of California-Berkeley,2
2015,University of California-Davis,18
2015,University of California-Irvine,16
2015,University of California-Los Angeles,37
2015,University of California-Riverside,4
2015,University of California-Santa Barbara,8
2015,Pitzer College,1
2015,San Francisco State University,25
2015,Scripps College,1
2015,University of Denver,2
2015,SUNY at Binghamton,17
2015,Stanford University,1
2016,California State University-Long Beach,3
2016,California State University-Northridge,9
2016,University of California-Davis,15
2016,University of California-Irvine,13
2016,University of California-Los Angeles,31
2016,University of California-Riverside,4
2016,University of California-Santa Barbara,12
2016,San Francisco State University,25
2016,Scripps College,1
2016,University of Denver,2
2016,SUNY at Binghamton,13